No;OBJECTID;X;Y;Name;CodeELSTAT;PopM01;PopF01;PopTot01;UnemrM01;UnemrF01;UnemrT01;PrSect01;Foreig01;Income01
0;1;616259.0078;4551127.241;KOMOTINIS;101;29967;31534;61501;4.726948;6.051873;5.221281;21.817852;1.99678;10969.31526
1;2;644783.1356;4561364.036;ARRIANON;102;8952;9307;18259;1.955813;2.390181;2.15424;92.912436;0.038337;6398.641486
2;3;602100.9505;4555689.138;IASMOU;103;7290;7561;14851;5.653884;6.671554;6.06239;70.206767;1.339977;6608.897469
3;4;633712.4684;4539548.49;MARONEIAS - SAPON;104;8284;8342;16626;5.840957;10.270499;7.421934;57.748085;0.890172;6700.375345
4;5;517831.1952;4572544.478;DRAMAS;201;28041;29326;57367;8.831689;14.176926;10.851115;7.298838;2.961633;11299.1065
5;6;520765.0183;4546140.726;DOXATOU;202;8325;8558;16883;10.096783;15.859449;12.1437;28.412363;2.552864;8113.734335
6;7;493796.6141;4579728.783;KATO NEVROKOPIOU;203;3634;3655;7289;9.868008;11.830635;10.526316;49.159664;2.688983;7540.976656
7;8;539592.2192;4576418.248;PARANESTIOU;204;2559;2555;5114;6.350711;8.282828;6.967742;42.787795;2.463825;8254.78138
8;9;494941.0509;4558948.898;PROSOTSANIS;205;7624;7907;15531;10.036946;9.69697;9.922417;37.692656;1.326379;7677.032664
9;10;666407.9782;4532034.456;ALEXANDROUPOLIS;301;33760;32365;66125;3.570977;4.806968;4.028502;13.235721;1.663541;12802.25257
10;11;699654.5472;4586081.779;DIDYMOTEICHOU;302;13014;10366;23380;4.340932;2.622705;3.746435;37.69697;0.598828;8636.939034
11;12;695504.8684;4606754.219;ORESTIADAS;303;20585;18790;39375;3.364486;4.21262;3.685218;38.823028;0.739066;9259.577454
12;13;634234.5661;4479074.076;SAMOTHRAKIS;304;1519;1193;2712;2.662722;2.857143;2.719665;44.731183;1.991885;8854.808951
13;14;680650.4488;4561751.045;SOUFLIOU;305;9285;8406;17691;6.191559;3.195489;5.143796;44.698545;0.695308;8843.261472
14;15;555039.3646;4503748.792;THASOU;401;6715;6736;13451;11.03057;18.378378;13.36772;22.823121;8.088618;8780.451519
15;16;533790.2989;4539849.781;KAVALAS;501;35725;38461;74186;6.205559;10.405693;7.838207;5.374961;4.665301;12089.54695
16;17;553463.068;4542221.518;NESTOU;502;11067;11151;22218;3.306667;4.466581;3.719812;37.303852;4.091277;8888.786526
17;18;511000.6091;4521960.734;PAGGAIOU;503;16059;15585;31644;3.948212;5.948046;4.639262;38.083927;6.225509;8481.42276
18;19;564081.5156;4561913.781;XANTHIS;601;28435;27948;56383;7.073189;12.314225;9.030693;6.445493;2.284376;11165.63211
